year,zip,price ($),cumulative increase,num_colleges
199910,02128,118200.0,2.2906976744186047,0
199911,02128,120400.0,2.3333333333333335,0
199912,02128,122800.0,2.37984496124031,0
200001,02128,125300.0,2.4282945736434107,0
200002,02128,127600.0,2.4728682170542635,0
200003,02128,129700.0,2.5135658914728682,0
200004,02128,131800.0,2.554263565891473,0
200005,02128,133900.0,2.5949612403100777,0
200006,02128,136000.0,2.635658914728682,0
200007,02128,137900.0,2.6724806201550386,0
200008,02128,139800.0,2.7093023255813953,0
200009,02128,141800.0,2.748062015503876,0
200010,02128,143800.0,2.7868217054263567,0
200011,02128,145900.0,2.8275193798449614,0
200012,02128,148300.0,2.874031007751938,0
200101,02128,150600.0,2.9186046511627906,0
200102,02128,152900.0,2.9631782945736433,0
200103,02128,155100.0,3.005813953488372,0
200104,02128,157500.0,3.052325581395349,0
200105,02128,159800.0,3.0968992248062017,0
200106,02128,162100.0,3.141472868217054,0
200107,02128,164400.0,3.186046511627907,0
200108,02128,166600.0,3.2286821705426356,0
200109,02128,168900.0,3.2732558139534884,0
200110,02128,171200.0,3.317829457364341,0
200111,02128,173700.0,3.366279069767442,0
200112,02128,176300.0,3.4166666666666665,0
200201,02128,178800.0,3.4651162790697674,0
200202,02128,181200.0,3.511627906976744,0
200203,02128,183800.0,3.562015503875969,0
